---,ID,NPC_ID,Conversation_ID,Line_ID,SubLine_ID,TargetLine_ID,Camera_ID,Monologue
1,1,1,0,1,0,0,1,"Witaj, czy to ty jesteś karczmarzem?"
2,2,1,0,2,0,0,0,"Tyle tu ludzi, że faktycznie można się pomylić, karczma zamknięta, zjeżdżaj stąd nie mam ochoty gadać…"
3,3,1,0,3,0,0,1,"Chce się dostać na Rines, podobno masz łódź."
4,4,1,0,4,0,0,0,"Może mam, a może nie… widzisz kiedyś wiele osób tu przypływało by zakosztować dobrego piwa i zabawić się na różne sposoby…"
5,5,1,0,5,0,0,0,"Przez pewien czas furorę robiła moja pieczeń z kraba, mówię ci niebo w gębie, miałem takie tłumy, każdy chciał zakosztować tego arcydzieła,"
6,6,1,0,6,0,0,0,"ale od jakiegoś czasu nikt się nie pojawia… ale jeszcze nadejdą dobre czasy, dla mnie i mojej karczmy, nawet jeśli nie tej i nie tutaj."
7,7,1,0,7,0,0,1,Trudne jest życie karczmarza?
8,8,1,0,8,0,0,0,"Moim zdaniem to nie ma tak, że dobrze albo że nie dobrze. Gdybym miał powiedzieć, co cenię w życiu najbardziej, powiedziałbym, że ludzi."
9,9,1,0,9,0,0,0,"Ludzi, którzy podali mi pomocną dłoń, kiedy sobie nie radziłem, kiedy byłem sam. I co ciekawe, to właśnie przypadkowe spotkania wpływają na nasze życie."
10,10,1,0,10,0,0,0,"Chodzi o to, że kiedy wyznaje się pewne wartości, nawet pozornie uniwersalne, bywa, że nie znajduje się zrozumienia, które by tak rzec, które pomaga się nam rozwijać."
11,11,1,0,11,0,0,0,"Ja miałem szczęście, by tak rzec, ponieważ je znalazłem. I dziękuję życiu. Dziękuję mu, życie to śpiew, życie to taniec, życie to miłość."
12,12,1,0,12,0,0,0,"Wielu ludzi pyta mnie o to samo, ale jak ty to robisz?, skąd czerpiesz tę radość?"
13,13,1,0,13,0,0,0,"A ja odpowiadam, że to proste, to umiłowanie życia, to właśnie ono sprawia, że dzisiaj na przykład jestem karczmarzem, a jutro..."
14,14,1,0,14,0,0,0,"kto wie, dlaczego by nie, oddam się pracy społecznej i będę ot, choćby sadzić... mar... marchew."
15,15,1,0,15,0,0,1,"Tak, tak… wracając, chcę się dostać na drugi brzeg."
16,16,1,0,16,0,0,0,"Każdy czegoś chce i to jest piękne, każdy powinien mieć cel w życiu, dążyć do niego, nie poddawać się. "
17,17,1,0,17,0,0,0,Siła i determinacja jest w stanie poprowadzić nas do realizacji naszego marzenia.
18,18,1,0,18,0,0,0,"Ja chętnie pomogę ci zrealizować twoje marzenia, jeśli ty pomożesz zrealizować moje."
19,19,1,0,19,0,0,0,"Widzisz, tak jak wcześniej mówiłem, robiłem przepyszną pieczeń z krabów, mięso z nich jest cudowne, miałem swoją małą hodowlę na plaży, ale kraby z pokolenia na pokolenie robiły się coraz większe."
20,20,1,0,20,0,0,0,"Najpierw się cieszyłem, bo było więcej mięsa, ale potem urosły do takich rozmiarów, że zaczęły stawiać opór. "
21,21,1,0,21,0,0,0,Jednej nocy zabiły trzech dosyć stałych bywalców… gdy reszta klientów się dowiedziała od razu zwinęła swoje tobołki i uciekła.
22,22,1,0,22,0,0,0,"Szczerze nigdy nie wierzyłem w teorie Darwiniusa, a tu jednak gatunek ewolucyjnie walczy o swoje."
23,23,1,0,23,0,0,1,Mam zabić kraby?
24,24,1,0,24,0,0,0,"No tak, niewyraźnie mówię? Tylko musisz uważać by zbytnio nie uszkodzić kraba, bo wtedy mięso będzie do niczego."
25,25,1,1,1,0,-1,0,"Ah, ta pieczeń, te mięso, ten miodowy sos, hmm… aż zgłodniałem"
26,26,1,1,2,0,-1,0,"A może tak, zacząć uprawiać rzepę… tylko kto to będzie zbierał"
27,27,1,1,3,0,-1,0,Śniła mi się ostatnio karczma pełna ludzi… to były piękne czasy
28,28,1,1,4,0,-1,0,"Jadłeś kiedyś zmienniaki w sosie skibela? Z kibela zaczerpnięty, ha! Taki żart mi się przypomniał..."
29,29,1,2,1,0,0,1,"Oto mięso, co z łodzią?"
30,30,1,2,2,0,0,0,"A unosi się na wodzie, unosi"
31,31,1,2,3,0,0,1,Mogę ją pożyczyć?
32,32,1,2,4,0,0,0,"Pożyczyć? Oczywiście, że nie. Jak ja potem opuszczę tę wyspę? Pewnie już tu i tak nie wrócisz, jak stąd odpłyniesz. Popłynę z tobą, tylko najpierw chciałbym zjeść pieczeń."
33,33,1,2,5,0,0,0,"Ale mam mały problem, zapomniałem, że potrzebuję miodu do mojego pysznego sosu. Sekret między innymi tkwi właśnie w świeżym miodzie. "
34,34,1,2,6,0,0,0,"Niedaleko za górą jest mała kotlinka z kilkoma ulami. Ale ostrożnie, uważaj na moje małe pszczółki, hoduje je dobrych wielu lat… znaczy od dwóch, ale zżyłem się z nimi."
35,35,1,2,7,0,0,1,Dlaczego ty nie możesz tego zrobić?
36,36,1,2,8,0,0,0,"Ja się muszę zająć mięsem, ale wierzę w ciebie, że dasz sobie radę"
37,37,1,3,1,0,0,0,"Ah, ta pieczeń, te mięso, ten miodowy sos, hmm… aż zgłodniałem"
38,38,1,3,2,0,0,0,"A może tak, zacząć uprawiać rzepę… tylko kto to będzie zbierał"
39,39,1,3,3,0,0,0,Śniła mi się ostatnio karczma pełna ludzi… to były piękne czasy
40,40,1,3,4,0,0,0,"Jadłeś kiedyś zmienniaki w sosie skibela? Z kibela zaczerpnięty, ha! Taki żart mi się przypomniał..."
41,41,1,4,1,0,0,0,"O już jesteś, to dobrze. Jak tam moje ule, mam nadzieję, że zbytnio ich nie uszkodziłeś, nie powiedziałem w sumie jak się je otwiera, ale to nie jest w sumie trudne, byle wioskowy głupek by sobie poradził."
42,42,1,4,2,0,0,1,Ule i pszczółki mają się dobrze.
43,43,1,4,3,0,0,0,"Muszę wierzyć ci na słowo… najważniejsze póki co jest to, że masz miód, miejmy nadzieję, że nie ostatni w tym sezonie… mhm… pyszności, normalnie delicje."
44,44,1,4,4,0,0,0,"mhm… pyszności, normalnie delicje. Zaproponowałbym, ale nie starczy mi na polewkę."
45,45,1,4,5,0,0,0,"Przyniesiesz jeszcze drewno, bo kończą mi się zapasy, chyba przesadziłem rozpalając w piecu."
46,46,1,4,6,0,0,1,Nie będę latać z siekierą po lesie…
47,47,1,4,7,0,0,0,"To nie lataj, zbierz kilka gałęzi spod drzew, w gęstwinie nieopodal mrowiska, które znajduje się przy skalnych górach nieopodal plaży jest dużo leżącego drewna. Na pewno znajdziesz."
