---,ID,NPC_ID,Conversation_ID,Line_ID,SubLine_ID,TargetLine_ID,Camera_ID,Monologue
1,1,2,0,1,0,0,0,"Jesteśmy, to moja pierwsza karczma, tyle mam z nią wspomnień… do dziś pamiętam mojego pierwszego klienta. Nie wiem czy wiesz, ale opuściłem te miejsce z powodu zgiełku. Potrzebowałem trochę ciszy i spokoju."
2,2,2,0,2,0,0,0,"Karczmę na tamtej wyspie zbudowałem rok po przeprowadzeniu się tam, a i tak było to tylko kilka desek i dach."
3,3,2,0,3,0,0,0,"Początkowo przypływali tam rybacy, żeby sobie zrobić przerwę w pracy, dopiero potem ludzie stąd specjalnie przemierzali taki kawał drogi, aby zagościć w mojej karczmie, przez co została rozbudowana to tego co widziałaś."
4,4,2,0,4,0,0,0,"Ale dobrze, dość tych wspomnień. Zamierzam otworzyć na nowo moją starą karczmę, ludzie potrzebują miejsca gdzie będą mogli zapomnieć choć przez chwilę, o codziennych zmartwieniach. "
5,5,2,0,5,0,0,0,Jeśli będziesz czegoś potrzebowała możesz mnie odwiedzić i pytać śmiało.
6,6,2,0,6,0,0,1,Jak się dostać do zamku?
7,7,2,0,7,0,0,0,"Chcesz dostać się do zamku… mhm… Będzie ciężko, słyszałem, że zamknięto bramę przez jakąś bestie i wieśniaków, którzy zaczęli protestować."
8,8,2,0,8,0,0,0,"Nie pamiętam przeciwko czemu, ale wsioki jak to wsioki coś im wpadnie w ucho, jeden drugiemu przekaże po swojemu i potem zaczynają się nieporozumienia."
9,9,2,0,9,0,0,0,"Jakby tak od czasu do czasu ktoś na środku placu wygłaszał krótką przemowę, wiesz o co mi chodzi, takie ogłoszenia co się dzieje w okolicy i dlaczego, a nie tak wszystko z drugiej trzeciej ręki."
10,10,2,0,10,0,0,0,"Ale wracając do tematu, słyszałem o tym miesiąc temu, więc może coś się zmieniło, choć na to bym nie liczył, żeby cokolwiek zmieniło się na lepsze zawsze trzeba długo czekać, zamknąć bramę umieją szybko a potem przez biurokracje na otwarcie jej można czekać i rok."
11,11,2,0,11,0,0,1,I…?
12,12,2,0,12,0,0,0,Nie mam pojęcia! Najlepiej jak porozmawiasz ze starostą tutejszej wioski Na… Natorów… Natworów… Nawrotów! Tak! Tak się nazywała jak mnie pamięć nie myli. On będzie pewnie wiedział co teraz w trawie piszczy.
13,13,2,0,13,0,0,1,"Rozumiem, pogadam z nim."
14,14,2,0,14,0,0,0,"Poczekaj, zanim pójdziesz, zabierz ze sobą tę paczkę, którą dał mi w porcie tutejszy przewoźnik, jest dla niejakiego Maćka, nie wiem czy go spotkałaś. Młody smutny chłopak, może rozweseli się gdy dostanie paczkę. "
15,15,2,0,15,0,0,0,"Powinien się gdzieś błąkać po wiosce, może nawet w niej mieszka."
16,16,2,0,16,0,0,1,"Kojarzę, przekaże mu ją, gdy go spotkam."
17,17,2,0,17,0,0,0,"Dziękuję, muszę zająć się moją karczmą. Jeśli masz jeszcze jakieś pytania nie krępuj się."
18,18,2,0,18,0,0,0,
19,19,2,0,18,1,19,0,Opowiedz mi coś o tej krainie.
20,20,2,0,18,2,24,0,Jak się dostać do wioski?
21,21,2,0,18,3,26,0,Opowiedz mi o wiosce.
22,22,2,0,18,4,38,0,Co powinnam wiedzieć o Sołtysie?
23,23,2,0,18,5,33,0,Potrzebuję pieniędzy.
24,24,2,0,18,6,36,0,"To wszystko, dziękuję za pomoc."
25,25,2,0,19,0,0,1,Opowiedz mi coś o tej krainie.
26,26,2,0,20,0,0,0,"Nazywa się Rines, jest to piękna kraina, choć nie mnie oceniać, bo za jej granice się nie zapuszczałem... Oprócz dużego lasu i wioski możesz zwiedzić starą kopalnię, piękne jezioro, w którym ryb jest niemało "
27,27,2,0,21,0,0,0,"i nie mówię tu o jakiś rybach, które można trzymać w dzbanku, a o wielkich okazach, które mógłby zagościć na nie jednej uczcie wielkich magów."
28,28,2,0,22,0,0,0,"Na zachodzie znajduje się stara kopalnia soli, ale od wielu lat jest zamknięta. Na wschodzie od wioski znajduje się cmentarz z wielką kryptą, ale nie radzę się tam zapuszczać, ponoć jest nawiedzona."
29,29,2,0,23,0,18,0,"No i jest jeszcze miasto z dużym zamkiem, byłem tam kilka razy, ale nie będę dużo opowiadać, może samej uda ci się je zwiedzić."
30,30,2,0,24,0,0,1,Jak się dostać do wioski?
31,31,2,0,25,0,18,0,"Udaj się tą ścieżką, zejdziesz nią do doliny aż dojesz do mostu. W trakcie schodzenia będziesz miała widok na całą dolinę, jeśli nie masz problemów ze wzrokiem to już powinnaś dostrzec wioskę. Następnie prostą drogą przez las dojesz do wioski."
32,32,2,0,26,0,0,1,Opowiedz mi o wiosce.
33,33,2,0,27,0,18,0,"Wioska jak wioska, wszędzie pełno ludzi, każdy coś gada, pchają się i przepychają, jakby nie mogli chwilę poczekać, a niby na wsi życie płynie spokojniej… Nie licząc Starosty nie ma wiele osób z którymi warto by było rozmawiać, ale jak tam dotrzesz, to sama ocenisz."
34,34,2,0,28,0,0,1,Co powinnam wiedzieć o Sołtysie?
35,35,2,0,29,0,0,0,"Rzadko gościł w mojej karczmie, nawet gdy była ona jeszcze tutaj. Ale nawet jak przychodził to siadał sam przy oknie i pijąc pogrążał się w zadumie. Próbowałem go kilka razy zagadać, ale nie był zbytnio rozmowny."
36,36,2,0,30,0,0,0,"Gdy z nim będziesz rozmawiała to mów prosto z mostu, z tego co słyszałem nie lubi jak ktoś owija w bawełnę."
37,37,2,0,31,0,0,1,Rozumiem.
38,38,2,0,32,0,18,0,W sumie bez problemu się dogadacie...
39,39,2,0,33,0,0,1,Potrzebuję pieniędzy.
40,40,2,0,34,0,0,0,"Nie mam przy sobie zbyt dużo monet, ale za karczmą leży moja stara skrzynia. Jest zapieczętowana specjalną magią, aby ją otworzyć potrzebna jest prawidłowa kombinacja specjalnych znaków."
41,41,2,0,35,0,18,0,Jest prosta zaczynasz od górnego znaku a potem już zgodnie z ruchem wskazówek zegara. Znajdziesz tam parę monet i kilka może przydatnych przedmiotów.
42,42,2,0,36,0,0,1,"To wszystko, dziękuję za pomoc."
43,43,2,0,37,0,-1,0,Uważaj na siebie.
44,44,2,0,38,0,18,0,Witam
45,45,,,,,,,
46,46,,,,,,,
47,47,,,,,,,
48,48,,,,,,,
49,49,,,,,,,
50,50,,,,,,,
51,51,,,,,,,
52,52,,,,,,,
53,53,,,,,,,
54,54,,,,,,,
55,55,,,,,,,
56,56,,,,,,,
57,57,,,,,,,
58,58,,,,,,,
59,59,,,,,,,
60,60,,,,,,,
61,61,,,,,,,
62,62,,,,,,,
63,63,,,,,,,
64,64,,,,,,,
65,65,,,,,,,
66,66,,,,,,,
67,67,,,,,,,
68,68,,,,,,,
69,69,,,,,,,
70,70,,,,,,,
71,71,,,,,,,
72,72,,,,,,,
73,73,,,,,,,
74,74,,,,,,,
75,75,,,,,,,
76,76,,,,,,,
77,77,,,,,,,
78,78,,,,,,,
79,79,,,,,,,
80,80,,,,,,,
81,81,,,,,,,
82,82,,,,,,,
83,83,,,,,,,
84,84,,,,,,,
85,85,,,,,,,
86,86,,,,,,,
87,87,,,,,,,
88,88,,,,,,,
89,89,,,,,,,
90,90,,,,,,,
91,91,,,,,,,
92,92,,,,,,,
93,93,,,,,,,
94,94,,,,,,,
95,95,,,,,,,
96,96,,,,,,,
97,97,,,,,,,
98,98,,,,,,,
99,99,,,,,,,
100,100,,,,,,,
101,101,,,,,,,
102,102,,,,,,,
103,103,,,,,,,
104,104,,,,,,,
105,105,,,,,,,
106,106,,,,,,,
107,107,,,,,,,
108,108,,,,,,,
109,109,,,,,,,
110,110,,,,,,,
111,111,,,,,,,
112,112,,,,,,,
113,113,,,,,,,
114,114,,,,,,,
115,115,,,,,,,
116,116,,,,,,,
117,117,,,,,,,
118,118,,,,,,,
119,119,,,,,,,
120,120,,,,,,,
121,121,,,,,,,
122,122,,,,,,,
123,123,,,,,,,
124,124,,,,,,,
125,125,,,,,,,
126,126,,,,,,,
127,127,,,,,,,
128,128,,,,,,,
129,129,,,,,,,
130,130,,,,,,,
131,131,,,,,,,
132,132,,,,,,,
133,133,,,,,,,
134,134,,,,,,,
135,135,,,,,,,
136,136,,,,,,,
137,137,,,,,,,
138,138,,,,,,,
139,139,,,,,,,
140,140,,,,,,,
141,141,,,,,,,
142,142,,,,,,,
143,143,,,,,,,
144,144,,,,,,,
145,145,,,,,,,
146,146,,,,,,,
147,147,,,,,,,
148,148,,,,,,,
149,149,,,,,,,
150,150,,,,,,,
151,151,,,,,,,
152,152,,,,,,,
153,153,,,,,,,
154,154,,,,,,,
155,155,,,,,,,
156,156,,,,,,,
157,157,,,,,,,
158,158,,,,,,,
159,159,,,,,,,
160,160,,,,,,,
161,161,,,,,,,
162,162,,,,,,,
163,163,,,,,,,
164,164,,,,,,,
165,165,,,,,,,
166,166,,,,,,,
167,167,,,,,,,
168,168,,,,,,,
169,169,,,,,,,
170,170,,,,,,,
171,171,,,,,,,
172,172,,,,,,,
173,173,,,,,,,
174,174,,,,,,,
175,175,,,,,,,
176,176,,,,,,,
177,177,,,,,,,
178,178,,,,,,,
179,179,,,,,,,
180,180,,,,,,,
181,181,,,,,,,
182,182,,,,,,,
183,183,,,,,,,
184,184,,,,,,,
185,185,,,,,,,
186,186,,,,,,,
187,187,,,,,,,
188,188,,,,,,,
189,189,,,,,,,
190,190,,,,,,,
191,191,,,,,,,
192,192,,,,,,,
193,193,,,,,,,
194,194,,,,,,,
195,195,,,,,,,
196,196,,,,,,,
197,197,,,,,,,
198,198,,,,,,,
199,199,,,,,,,
200,200,,,,,,,
201,201,,,,,,,
202,202,,,,,,,
203,203,,,,,,,
204,204,,,,,,,
205,205,,,,,,,
206,206,,,,,,,
207,207,,,,,,,
208,208,,,,,,,
209,209,,,,,,,
210,210,,,,,,,
211,211,,,,,,,
212,212,,,,,,,
213,213,,,,,,,
214,214,,,,,,,
