---,ID,NPC_ID,Conversation_ID,Line_ID,SubLine_ID,TargetLine_ID,Camera_ID,Monologue
1,1,5,0,1,0,0,0,"Nie zawracaj mi głowy, nie widzisz że jestem zajęty."
2,2,5,0,2,0,0,1,Kim jesteś?
3,3,5,0,3,0,0,0,Jestem Jero protestant.
4,4,5,0,4,0,0,1,Chyba protestujący.
5,5,5,0,5,0,0,0,No… przecie mówię. Te głupie ludzie ze wsi niszczą ziemie jakąś magią zamiast zdać się na naturę.
6,6,5,0,6,0,0,1,Nie mieszkasz w wiosce?
7,7,5,0,7,0,0,0,"Mieszkam… ale ja nie stąd. Mieszkałem w wiosce Gawronów, na północ stąd. Ale mnie wyrzucili..."
8,8,5,0,8,0,0,1,Dlaczego?
9,9,5,0,9,0,0,0,"A bo te durne chłopy nie wiedzą, że zatruwają środowisko, to mówię im jakie to skutki… no ten… w sensie do czego to doprowadzi, to zaczęli mnie obrzucać kamieniami i wygonili z domu. Tu na szczęście kilka mądrych się znalazło. No i ten… nauczam, no…"
10,10,5,0,10,0,0,1,Nauczasz?
11,11,5,0,11,0,0,0,"No taa, chcesz się trochę no ten… doksz, do…"
12,12,5,0,12,0,0,1,Dokształcić?
13,13,5,0,13,0,0,0,"No, mówię przecie."
14,14,5,0,14,0,0,0,
15,15,5,0,14,1,15,0,Powiedz mi o tej szkodliwej magii.
16,16,5,0,14,2,30,0,O co chodzi z tą bestią?
17,17,5,0,14,3,23,0,Opowiedz mi o okolicy.
18,18,5,0,14,4,26,0,Wiesz jak dostać się do miasta?
19,19,5,0,14,5,36,0,Musze iść.
20,20,5,0,15,0,0,1,Powiedz mi o tej szkodliwej magii.
21,21,5,0,16,0,0,0,"Bo to wszystko przez gwałtowną modyfikację organiczną, no wiesz… GMO. Magia używana do użyźniania ziemi i przyśpieszenia wzrostu plonów, może wyglądać i działać efektywnie, ale prowadzi do długotrwałych uszkodzeń roślin na poziomie molekularnym."
22,22,5,0,17,0,0,0,"Zwierzęta i my spożywając te rośliny możemy nie odczuć od razu ich skutków. Ale tak zmodyfikowane rośliny wpływają na nasze zdrowie i geny, które mogą mutować. Co spowoduje nieuleczalną chorobę i śmierć."
23,23,5,0,18,0,0,1,Rozumiem… a powiedz skąd to wiesz?
24,24,5,0,19,0,0,0,"No ten, no, czytałem o tym."
25,25,5,0,20,0,0,1,Czytałeś?
26,26,5,0,21,0,0,0,"Znaczy czytał mi o tym jeden taki mag, pomagałem mu, prowadził jakieś eksperymenta. często mówił sam do siebie, to go ten, no... ten no, słuchałem. Jak to mag, to uczony pewno, jak czytał i zapisywał to znaczy, że mądry też."
27,27,5,0,22,0,14,1,Pewnie tak...
28,28,5,0,23,0,0,1,Opowiedz mi o okolicy.
29,29,5,0,24,0,0,0,Jak dla mnie dużo ciekawych rzeczy tu nie ma. Oprócz wioski do której dostępu nie mam od jakiegoś czasu.
30,30,5,0,25,0,14,0,"Jest jeszcze opuszczona kopalnia na wschodzie, a na zachodzie jakiś cmentarz, ale nie radzę okradać grobów, pełno tam duchów… nie żebym próbował, ale tak tylko słyszałem."
31,31,5,0,26,0,0,1,Wiesz jak dostać się do miasta?
32,32,5,0,27,0,0,0,"Nie… ale nie radzę próbować przebiec przez główną bramę, nie żebym próbował, ale strażnicy są szybcy… i mocno biją, a w mieście to dopiero miałbym posłuch…. Tam ludzie są mądrzejsi, na pewno by zrozumieli... by zrozumieli szkodliwość magii używanej do uprawy."
33,33,5,0,28,0,0,1,Dzięki za radę.
34,34,5,0,29,0,14,0,"Jak będziesz miała jakiś zbyteczny glejt, albo znajdziesz jakąś dziurę w murze dajmy na to.. to daj mi znać."
35,35,5,0,30,0,0,1,O co chodzi z tą bestią?
36,36,5,0,31,0,0,0,"Jak to co? Bestia, która leże ma w kopalni na zachodzie i ludziów zabija. Jest stworzona z magii GMO."
37,37,5,0,32,0,0,1,W jaki sposób?
38,38,5,0,33,0,0,0,"No ten… yyy… nie wiem, ale skutki działania magii takie rzeczy robią, tu powiększą nasiona kukurydzy, tu powiększą zająca, a i inne zwierzęta słyszałem, które mieszkało w jaskini mogło też być zmienione."
39,39,5,0,34,0,0,1,Zająca? Nie widziałam tu przerośniętych królików.
40,40,5,0,35,0,14,0,"Bo to rzadkie, ale się dzieje, cytując mistrza gwałtowna modyfikacja organiczna jest zła, tylko naturalne uprawy są dobre."
41,41,5,0,36,0,0,1,Musze iść.
42,42,5,0,37,0,-1,0,"Cytując mistrza... pamiętaj, GMO jest złe, zniszczy cię."
43,43,5,0,38,0,14,0,…
44,44,,,,,,,
45,45,,,,,,,A on mu wtedy zabijam potwory.. ech... co te GMO robi z ludźmi
46,46,,,,,,,Wschód... zachód... to się czymś różni?
47,47,,,,,,,
48,48,,,,,,,
49,49,,,,,,,
50,50,,,,,,,
51,51,,,,,,,
52,52,,,,,,,
53,53,,,,,,,
54,54,,,,,,,
55,55,,,,,,,
56,56,,,,,,,
57,57,,,,,,,
58,58,,,,,,,
59,59,,,,,,,
