---,ID,NPC_ID,Conversation_ID,Line_ID,SubLine_ID,TargetLine_ID,Camera_ID,Monologue
1,1,8,0,1,0,-1,0,"Odejdź, nie rozmawiam z byle kim."
2,2,8,1,1,0,0,1,"Witaj, kim jesteś?"
3,3,8,1,2,0,0,0,"Myśliwym. Pilnuje żeby dzikie zwierzęta nie wchodziły na teren wioski. Teraz się jakoś tych kocurów namnożyło, że szkoda gadać…"
4,4,8,1,3,0,0,0,
5,5,8,1,3,1,4,0,Mogę ci jakoś pomóc?
6,6,8,1,3,2,10,0,Co słychać?
7,7,8,1,3,3,13,0,Bywaj.
8,8,8,1,4,0,0,1,Mogę ci jakoś pomóc?
9,9,8,1,5,0,0,0,"W lesie na zachód od wsi grasuje stado pum, zabij je, wynagrodzę ci to."
10,10,8,1,5,1,6,0,"Nie ma sprawy, zajmę się tym."
11,11,8,1,5,2,8,0,Nie mam czasu teraz biegać za dzikimi zwierzętami.
12,12,8,1,6,0,0,1,"Nie ma sprawy, zajmę się tym."
13,13,8,1,7,0,-1,0,"Dzięki, wróć do mnie gdy załatwisz sprawę."
14,14,8,1,8,0,0,1,Nie mam czasu teraz biegać za dzikimi zwierzętami.
15,15,8,1,9,0,-1,0,Nikt nie ma czasu.
16,16,8,1,10,0,0,1,Co słychać?
17,17,8,1,11,0,0,0,"A daj spokój, brama zamknięta, to nie ma kto przyjść nam pomóc. A co ja zrobię sam? Magii nie używam, widłami dużo nie zdziałam, a tych kotów coraz więcej. Jeszcze się jakiś potwór w kopalni ostatnio pojawił."
18,18,8,1,12,0,3,0,"Ja nie głupi, zabić się nie dam i tak ostatnio cudem przeżyłem, zaatakowany w biały dzień. A straż zamiast stać i marudzić, wzięłaby się do roboty i pomogła w wiosce."
19,19,8,1,13,0,0,1,Bywaj.
20,20,8,1,14,0,-1,0,Ja też teraz nie mam czasu na dłuższe rozmowy.
21,21,8,2,1,0,0,0,Czego chcesz?
22,22,8,2,2,0,0,0,
23,23,8,2,2,1,3,0,Co do tych dzikich zwierząt.
24,24,8,2,2,2,8,0,Co słychać?
25,25,8,2,2,3,11,0,Bywaj.
26,26,8,2,3,0,0,1,Co do tych dzikich zwierząt.
27,27,8,2,4,0,0,0,Tak?
28,28,8,2,4,1,5,0,Zajmę się tym.
29,29,8,2,4,2,7,0,Muszę już iść.
30,30,8,2,5,0,0,1,Zajmę się tym.
31,31,8,2,6,0,-1,0,"Dzięki, wróć do mnie gdy załatwisz sprawę."
32,32,8,2,7,0,-1,1,Muszę już iść.
33,33,8,2,8,0,0,1,Co słychać?
34,34,8,2,9,0,0,0,"A daj spokój, brama zamknięta, to nie ma kto przyjść nam pomóc. A co ja zrobię sam? Magii nie używam, widłami dużo nie zdziałam, a tych kotów coraz więcej. Jeszcze się jakiś potwór w kopalni ostatnio pojawił."
35,35,8,2,10,0,2,0,"Ja nie głupi, zabić się nie dam i tak ostatnio cudem przeżyłem, zaatakowany w biały dzień. A straż zamiast stać i marudzić, wzięłaby się do roboty i pomogła w wiosce."
36,36,8,2,11,0,0,1,Bywaj.
37,37,8,2,12,0,-1,0,Ja też teraz nie mam czasu na dłuższe rozmowy.
38,38,8,3,1,0,0,0,Czego chcesz?
39,39,8,3,2,0,0,0,
40,40,8,3,2,1,3,0,Co do tych dzikich zwierząt.
41,41,8,3,2,2,7,0,Co słychać?
42,42,8,3,2,3,10,0,Bywaj.
43,43,8,3,3,0,0,1,Co do tych dzikich zwierząt.
44,44,8,3,4,0,0,0,Tak?
45,45,8,3,5,0,0,1,Jeszcze się ich nie pozbyłam.
46,46,8,3,6,0,2,0,Pośpiesz się sołtys mi marudzi że już dawno powinienem się tym zająć.
47,47,8,3,7,0,0,1,Co słychać?
48,48,8,3,8,0,0,0,"A daj spokój, brama zamknięta, to nie ma kto przyjść nam pomóc. A co ja zrobię sam? Magii nie używam, widłami dużo nie zdziałam, a tych kotów coraz więcej. Jeszcze się jakiś potwór w kopalni ostatnio pojawił."
49,49,8,3,9,0,3,0,"Ja nie głupi, zabić się nie dam i tak ostatnio cudem przeżyłem, zaatakowany w biały dzień. A straż zamiast stać i marudzić, wzięłaby się do roboty i pomogła w wiosce."
50,50,8,3,10,0,0,1,Bywaj.
51,51,8,3,11,0,-1,0,Ja też teraz nie mam czasu na dłuższe rozmowy.
52,52,8,4,1,0,0,0,Czego chcesz?
53,53,8,4,2,0,0,0,
54,54,8,4,2,1,3,0,Co do tych dzikich zwierząt.
55,55,8,4,2,2,7,0,Co słychać?
56,56,8,4,2,3,10,0,Bywaj.
57,57,8,4,3,0,0,1,Co do tych dzikich zwierząt.
58,58,8,4,4,0,0,0,Tak?
59,59,8,4,5,0,0,1,Już nie będą niepokoić mieszkańców.
60,60,8,4,6,0,-1,0,"Wspaniale, oto twoja zapłata. To wszystko co mogę ci zaoferować."
61,61,8,4,7,0,0,1,Co słychać?
62,62,8,4,8,0,0,0,"A daj spokój, brama zamknięta, to nie ma kto przyjść nam pomóc. A co ja zrobię sam? Magii nie używam, widłami dużo nie zdziałam, a tych kotów coraz więcej. Jeszcze się jakiś potwór w kopalni ostatnio pojawił."
63,63,8,4,9,0,2,0,"Ja nie głupi, zabić się nie dam i tak ostatnio cudem przeżyłem, zaatakowany w biały dzień. A straż zamiast stać i marudzić, wzięłaby się do roboty i pomogła w wiosce."
64,64,8,4,10,0,0,1,Bywaj.
65,65,8,4,11,0,-1,0,Ja też teraz nie mam czasu na dłuższe rozmowy.
66,66,8,5,1,0,0,0,Czego chcesz?
