---,NPC_ID,Conversation_ID,Line_ID,SubLine_ID,TargetLine_ID,Camera_ID,Monologue
1,0,0,1,0,0,0,"Maciek: Ghm, mhm, nieudana kąpiel?"
2,0,0,1,1,5,0,Tak
3,0,0,1,2,10,0,Nie
4,0,0,1,3,15,0,Nie twój interes
5,0,0,1,4,0,0,Koniec
6,0,0,2,0,0,1,O czym ty mówisz?
7,0,0,3,0,0,0,"Maciek: No, do wody wbiegłaś, chciałaś się utopić i nie wyszło."
8,0,0,4,0,0,0,Maciek: Po utracie przytomności fale szybko wyrzucają na brzeg.
9,0,0,5,0,0,0,"Maciek: Wiem o tym… z doświadczenia… już kilka razy próbowałem, zawsze ten sam efekt."
10,0,0,6,0,0,0,"Maciek: Nie ważne, czy próbujesz wieczorem, w nocy, wczesnym rankiem czy nawet w samo południe."
11,0,0,7,0,0,1,Nie zamierzałam się zabić.
12,0,0,8,0,0,0,Maciek: To po co wskakiwałaś do wody?
13,0,0,9,0,1,1,Nie wskakiwałam do wody
14,0,0,10,0,0,0,Maciek: To dlaczego jesteś cała przemoczona i leżałaś na brzegu?
15,0,0,11,0,0,1,Nie twój interes. Kim ty w ogóle jesteś? Co to za miejsce?
16,0,0,12,0,0,0,"Maciek: Spokojnie, nie chcesz mówić, nie mów."
17,0,0,13,0,0,0,"Maciek: Nazywam się Maciek, a znajdujemy się na niewielkiej wyspie przystaniowej."
18,0,0,14,0,1,0,"Maciek: Ponoć kiedyś przypływało tu wiele osób, głównie mężczyzn, którzy uciekali tu na kilka dni od swoich kobiet, żeby się nachlać, ale teraz nie znajdziesz tu nic,"
19,0,0,15,0,0,0,"Maciek: może oprócz przerośniętych krabów, które ponoć są agresywne i niebezpieczne, "
20,0,0,16,0,0,0,"Maciek: ale ta opowieść jest przereklamowana, siedziałem obok nich i w ogóle na mnie nie reagowały."
21,0,0,17,0,0,1,"Rozumiem, a jak się wydostać z tej wyspy?"
22,0,0,18,0,0,0,"Maciek: Nie wiem, nie myślałem jeszcze o tym, możesz znów rzucisz się do wody,"
23,0,0,19,0,1,0,Maciek: i może fale wyrzucą cię w Rines.
24,0,0,20,0,0,1,"Nie zamierzam wskakiwać do wody w nadziei, że się nie utopię. Nie ma tu jakieś łódki?"
25,0,0,21,0,0,0,"Maciek: Łódki… mhm… widziałem jakąś na przystani. Porozmawiaj z Karczmarzem, może cię przewiezie i tak siedzi i nic nie robi."
26,0,0,22,0,0,1,Gdzie go znajdę?
27,0,0,23,0,0,0,"Maciek: Jest przy karczmie, jedyna chata na tej wyspie."
28,0,0,24,0,0,1,"Potrzebuje jakiegoś suchego ubrania, zimno tu jak na dalekiej północy"
29,0,0,25,0,0,0,"Maciek: Nie jestem żadnym kupcem, ale mam przy sobie takie coś."
30,0,0,26,0,0,0,"Maciek: Szata jakiegoś maga nowicjusza, liczyłem, że jak wlecę w niej do wody, to namoknie, stanie się cięższe i pójdę w niej na dno."
31,0,0,27,0,0,0,"Maciek: Ale tylko nabrzmiała jak jakaś ryba i utrzymywała mnie na falach… 2 dni tak dryfowałem, aż wyrzuciło mnie tutaj."
32,0,0,28,0,0,1,"Dziękuję, jeśli chcesz możesz popłynąć ze mną."
33,0,0,29,0,0,0,"Maciek: Nie trzeba, jeszcze się trochę rozejrzę na tej wyspie, może znajdę coś przydatnego, żeby zakończyć mój żywot."
34,0,1,1,0,0,0,A może by tak skoczyć z drzewa?
35,0,1,2,0,0,0,Po tych dwóch dniach płynąc w wodzie nie mogę się pozbyć zapachu soli…
36,0,1,3,0,0,0,A gdyby tak sznur i kamień… tylko skąd wytrzasnę sznur… i odpowiedni kamień.
37,0,1,4,0,0,0,"W sumie głodny jestem, zjadłbym rybę… może zadławię się ością."
38,1,0,1,0,0,1,"Witaj, to ty jesteś karczmarzem?"
39,1,0,2,0,0,0,"Tyle tu ludzi, że faktycznie można się pomylić, karczma zamknięta, zjeżdżaj stąd nie mam ochoty gadać…"
40,1,0,3,0,0,1,"Chce się dostać na Rines, podobno masz łódź."
41,1,0,4,0,0,0,"Może mam, a może nie… widzisz kiedyś wiele osób tu przypływało by zakosztować dobrego piwa i zabawić się na różne sposoby…"
42,1,0,5,0,0,0,"Przez pewien czas furorę robiła moja pieczeń z kraba, mówię ci niebo w gębie, miałem takie tłumy,"
43,1,0,6,0,0,0,"każdy chciał zakosztować tego arcydzieła, ale od jakiegoś czasu nikt się nie pojawia…"
44,1,0,7,0,0,0,"ale jeszcze nadejdą dobre czasy, dla mnie i mojej karczmy, nawet jeśli nie tej i nie tutaj."
45,1,0,8,0,0,1,Trudne jest życie karczmarza?
46,1,0,9,0,0,0,"Moim zdaniem to nie ma tak, że dobrze albo że nie dobrze. Gdybym miał powiedzieć, co cenię w życiu najbardziej, powiedziałbym, że ludzi. Ekhm..."
47,1,0,10,0,0,0,"Ludzi, którzy podali mi pomocną dłoń, kiedy sobie nie radziłem, kiedy byłem sam."
48,1,0,11,0,0,0,"I co ciekawe, to właśnie przypadkowe spotkania wpływają na nasze życie."
49,1,0,12,0,0,0,"Chodzi o to, że kiedy wyznaje się pewne wartości, nawet pozornie uniwersalne, bywa, że nie znajduje się zrozumienia,"
50,1,0,13,0,0,0,"które by tak rzec, które pomaga się nam rozwijać. Ja miałem szczęście, by tak rzec, ponieważ je znalazłem."
51,1,0,14,0,0,0,"I dziękuję życiu. Dziękuję mu, życie to śpiew, życie to taniec, życie to miłość."
52,1,0,15,0,0,0,"Wielu ludzi pyta mnie o to samo, ale jak ty to robisz?, skąd czerpiesz tę radość?"
53,1,0,16,0,0,0,"A ja odpowiadam, że to proste, to umiłowanie życia, to właśnie ono sprawia, że dzisiaj na przykład jestem karczmarzem, a jutro..."
