---,NPC_ID,Conversation_ID,Line_ID,SubLine_ID,TargetLine_ID,Camera_ID,Monologue
1,2,0,1,0,0,0,"Jesteśmy, to moja pierwsza karczma, tyle mam z nią wspomnień… do dziś pamiętam mojego pierwszego klienta."
2,2,0,2,0,0,0,"Nie wiem czy wiesz, ale opuściłem te miejsce z powodu zgiełku. Potrzebowałem trochę ciszy i spokoju."
3,2,0,3,0,0,0,"Karczmę na tamtej wyspie zbudowałem rok po przeprowadzeniu się tam, a i tak było to tylko kilka desek i dach."
4,2,0,4,0,0,0,"Początkowo przypływali tam rybacy, żeby sobie zrobić przerwę w pracy, dopiero potem ludzie stąd specjalnie przemierzali taki kawał drogi,"
5,2,0,5,0,0,0,"aby zagościć w mojej karczmie, przez co została rozbudowana to tego co widziałaś."
6,2,0,6,0,0,0,"Ale dobrze, dość tych wspomnień. "
7,2,0,7,0,0,0,"Zamierzam otworzyć na nowo moją starą karczmę, ludzie potrzebują miejsca gdzie będą mogli zapomnieć choć przez chwilę, o codziennych zmartwieniach."
8,2,0,8,0,0,0,Jeśli będziesz czegoś potrzebowała możesz mnie odwiedzić i pytać śmiało.
9,2,0,9,0,0,1,Jak się dostać do zamku?
10,2,0,10,0,0,0,Chcesz dostać się do zamku… mhm…
11,2,0,11,0,0,0,"Będzie ciężko, słyszałem, że zamknięto bramę przez jakąś bestie i wieśniaków, którzy zaczęli protestować."
12,2,0,12,0,0,0,"Nie pamiętam przeciwko czemu, ale wsioki jak to wsioki coś im wpadnie w ucho, jeden drugiemu przekaże po swojemu i potem zaczynają się nieporozumienia."
13,2,0,13,0,0,0,"Jakby tak od czasu do czasu ktoś na środku placu wygłaszał krótką przemowę,"
14,2,0,14,0,0,0,"wiesz o co mi chodzi, takie ogłoszenia co się dzieje w okolicy i dlaczego, a nie tak wszystko z drugiej trzeciej ręki."
15,2,0,15,0,0,0,"Ale wracając do tematu, słyszałem o tym miesiąc temu, więc może coś się zmieniło, choć na to bym nie liczył,"
