---,ID,NPC_ID,Conversation_ID,Line_ID,SubLine_ID,TargetLine_ID,Camera_ID,Monologue,
1,1,3,0,1,0,0,1,Witaj.,
2,2,3,0,2,0,0,0,"Czego chcesz?! Nie lubię obcych w mojej wsi, zjeżdżaj stąd, zawżdy wzywam mylicje wiejską.",
3,3,3,0,3,0,0,1,"Spokojnie, nie zostanę tu długo, chcę się tylko dostać do miasta.",
4,4,3,0,4,0,0,0,"Do miasta mówisz, nie uda ci się, brama jest zawarta. Wpuszczają tylko ludzi, którzy mają glejt.",
5,5,3,0,5,0,0,1,A co się stało?,
6,6,3,0,6,0,0,0,"Z powodu zamieszek jakie ostatnio tu panują, banda chopów, jeden z drugim dostała cegłówką po łbach i wymyślili jakieś bzdury,",
7,7,3,0,7,0,0,0,"kazałem ich wygnać  z naszej wioski, jeśli ty też planujesz jakieś awantury, zastanów się lepiej dwa razy.",
8,8,3,0,8,0,0,0,"Drugim powodem jest bestyja, co straszy od niedawna. Ludzi zabija, porządnych ludzi! ",
9,9,3,0,9,0,0,0,,
10,10,3,0,9,1,10,0,Da się jakoś ominąć strażników?,
11,11,3,0,9,2,34,0,Opowiedz mi o tej wiosce.,
12,12,3,0,9,3,38,0,Czy jest coś ciekawego w okolicy?,
13,13,3,0,9,4,41,0,"To wszystko, do widzenia",
14,14,3,0,10,0,0,1,Da się jakoś ominąć strażników?,
15,15,3,0,11,0,0,0,Aby przejść przez bramę musisz pokazać glejt strażnikom. Ale ja ci nie dam.,
16,16,3,0,12,0,0,0,"Jest jeszcze inna droga za mury, ale nie będę mówił o naszych ścieżkach byle pierwszej lepszej włóczędze.",
17,17,3,0,12,1,13,0,"Dobra, co mam zrobić?",
18,18,3,0,12,2,22,0,Gadaj albo…,
19,19,3,0,13,0,0,1,Da się jakoś ominąć strażników?,
20,20,3,0,14,0,0,0,Mądra z ciebie dziewka. Ale co ty możesz?,
21,21,3,0,15,0,0,1,"Całkiem dużo, nawet rzepa mi nie straszna.",
22,22,3,0,16,0,0,0,"Rzepa rzepą, nie ucieknie. Jest pewna sprawa, a ludzi brakuje. Ale gadać ci nie będę, boś obca.",
23,23,3,0,17,0,0,1,"Więc co mam zrobić, żebyś mi zaufał?",
24,24,3,0,18,0,0,0,"Przekonaj do siebie miejscowych, to przekonasz i mnie.",
25,25,3,0,19,0,0,1,"Jak mam to zrobić, wszyscy w wiosce trzymają się ode mnie z daleka i nie spotkałam nikogo, kto chciałby ze mną rozmawiać.",
26,26,3,0,20,0,0,0,"To nie jest przeszkoda, powiedz, że ja cię przysyłam, zacznij od Antoniego.",
27,27,3,0,21,0,-1,1,"Dobrze, zobaczę co da się zrobić.",
28,28,3,0,22,0,0,1,Gadaj albo…,
29,29,3,0,23,0,0,0,"A bo co? Spróbuj tylko podnieść na mnie rękę, a mylicja bez wahania spoli cie na stosie za te czory.",
30,30,3,0,24,0,0,0,"Przysługa za przysługę, tak to tu jest.",
31,31,3,0,25,0,0,1,"Dobra, co mam zrobić?",
32,32,3,0,26,0,0,0,Mądra z ciebie dziewka. Ale co ty możesz?,
33,33,3,0,27,0,0,1,"Całkiem dużo, nawet rzepa mi nie straszna.",
34,34,3,0,28,0,0,0,"Rzepa, rzepą, ale nie ucieknie. Jest pewna sprawa, a ludzi brakuje. Ale gadać ci nie będę, boś obca.",
35,35,3,0,29,0,0,1,"Więc co mam zrobić, żebyś mi zaufał?",
36,36,3,0,30,0,0,0,"Przekonaj do siebie miejscowych, to przekonasz i mnie.",
37,37,3,0,31,0,0,1,"Jak mam to zrobić, wszyscy w wiosce trzymają się ode mnie z daleka i nie spotkałam nikogo, kto chciałby ze mną rozmawiać.",
38,38,3,0,32,0,0,0,"Powiedziałbym radź sobie sama, ale zaznaj mojej łaski. Przekonaj do siebie miejscowych, to przekonasz i mnie.",
39,39,3,0,33,0,-1,1,"Dobrze, zobaczę co da się zrobić.",
40,40,3,0,34,0,0,1,Opowiedz mi o tej wiosce.,
41,41,3,0,35,0,0,0,"Zwana jest wioską Nawrotów. Wiela nas tu nie ma, a i wioska nie ogromna i bogata, ale radzim sobie.",
42,42,3,0,36,0,0,0,Klucz to dyscyplina i nie zadawanie się z każdo nowo przybyłym włóczęgom.,
43,43,3,0,37,0,9,0,"Raz tu przyloz taki co chopą mówił, że magia Nasza zła, a te debile uwierzyły! To żem psami poszczuł. ",
44,44,3,0,38,0,0,1,Czy jest coś ciekawego w okolicy?,
45,45,3,0,39,0,0,0,"Maryna mieszka z boku, ale pewno nie o to ci chodziło. Jest jezioro, las, łąki, pola i Maryna.",
46,46,3,0,40,0,9,0,"Stara kopalnia, jest już zamknięta z dziesięć lat. Cmentarz z kryptą, gdzie leży parę znanych, zimnych i szanownych ludzi z okolicy.",
47,47,3,0,41,0,0,1,"To wszystko, do widzenia",
48,48,3,0,42,0,-1,0,Żegnam.,
49,49,3,0,43,0,9,0,Cześć i chwała Si’diredowi. Czego chcesz?,
50,50,3,1,1,0,0,0,Cześć i chwała Si’diredowi. Czego chcesz?,
51,51,3,1,2,0,0,0,,
