---,ID,NPC_ID,Conversation_ID,Line_ID,SubLine_ID,TargetLine_ID,Camera_ID,Monologue
1,1,4,0,1,0,0,0,"Odejdź, nie gadam z byle kim. Już wystarczy, że mnie chłopi zaczepiają i marudzą."
2,2,4,1,1,0,0,1,Witaj…
3,3,4,1,2,0,0,0,"Wiem, człowiek Sołtysa przyszedł do mnie i wszystko mi powiedział. Chcesz mojego poparcia?  Tak się składa, że jest coś co możesz dla mnie zrobić."
4,4,4,1,3,0,0,1,To co mam zrobić?
5,5,4,1,4,0,0,0,"Niedaleko jest krypta.. wiesz tam na starym cmentarzu na wschód od wioski. Spoczywa tam mój dziadek, bardzo szlachetny człowiek, pomagał tutejszym chłopom finansowo."
6,6,4,1,5,0,0,1,Finansowo? Czyli nie jesteś rolnikiem?
7,7,4,1,6,0,0,0,"Co? Ja? Nie, wypraszam sobie. Jestem szlachetnie urodzony, moja rodzina mieszka w mieście,"
8,8,4,1,7,0,0,0,"tutaj znajduje się tylko nasza posiadłość, do której od czasu do czasu przyjeżdżam, żeby poczuć wiejskie klimaty."
9,9,4,1,8,0,0,0,"Sytuacja jest nieciekawa, bo kilka dni przed zamknięciem bramy przyjechałem tu, a teraz nie mogę wrócić,"
10,10,4,1,9,0,0,0,"nie posiadam przy sobie żadnych dokumentów, a te pacany przy moście nie chcą mnie wysłuchać."
11,11,4,1,10,0,0,1,"Rozumiem, ale otwarcie bramy nie zależy ode mnie, nie mogę ci pomoc."
12,12,4,1,11,0,0,0,Nie o to chodzi.
13,13,4,1,12,0,0,1,To do czego zmierzasz? 
14,14,4,1,13,0,0,0,"Jak wspominałem, mój dziadek, wspaniały człowiek, wolał, żyć wśród tych wieśniaków, wspomagał pieniężnie oraz dobrą radą."
15,15,4,1,14,0,0,0,"Zmarł kilka lat temu i został pochowany w tutejszej krypcie, w uhonorowanym miejscu, rozumiesz… za zasługi."
16,16,4,1,15,0,0,0,"Nie było mnie przy jego śmierci, gdyż wyjechałem w interesach…"
