---,ID,NPC_ID,Conversation_ID,Line_ID,SubLine_ID,TargetLine_ID,Camera_ID,Monologue
1,1,7,0,1,0,0,0,"Odejdź, jestem zajęta."
2,2,7,1,1,0,0,1,"Witaj, kim jesteś?"
3,3,7,1,2,0,0,0,"Mam na imię Ida, jestem tutejszą zielarką, albo jak inni wolą czarownicą. Pomagam ludziom jak mogę, w chorobie i nie tylko."
4,4,7,1,3,0,0,0,
5,5,7,1,3,1,4,0,Szukam pracy. Znajdzie się coś dla mnie?
6,6,7,1,3,2,13,0,Co słychać?
7,7,7,1,3,3,31,0,Musze już iść.
8,8,7,1,4,0,0,1,Szukam pracy. Znajdzie się coś dla mnie?
9,9,7,1,5,0,0,0,"Dobrze się składa. Widzisz, ostatnio wielu ludzi w wiosce choruje,"
10,10,7,1,6,0,0,0,"a ja nie nadążam z przygotowywaniem lekarstw, a kończą mi się zapasy."
11,11,7,1,7,0,0,0,"Wiem, że nie brzmi to za ciekawie, ale czy nie mogłabyś zebrać kilka… "
12,12,7,1,8,0,0,0,"dokładnie 10 sztuk mniszka lekarskiego, znajdziesz go w okolicach pól i łąk."
13,13,7,1,8,1,9,0,"Jasne, czemu nie."
14,14,7,1,8,2,11,0,Przykro mi nie mam teraz czasu.
15,15,7,1,9,0,0,1,"Jasne, czemu nie."
16,16,7,1,10,0,-1,0,"Dziękuję, na pewno ci to wynagrodzę."
17,17,7,1,11,0,0,1,Przykro mi nie mam teraz czasu.
18,18,7,1,12,0,-1,0,"Rozumiem, jak zmienisz zdanie to przyjdź, bo póki co nie mam czasu nawet kogokolwiek posłać."
19,19,7,1,13,0,0,1,Co słychać?
20,20,7,1,14,0,0,0,"Zależy o co pytasz, mam trochę ostatnio urwanie głowy z epidemią w mojej wiosce."
21,21,7,1,15,0,0,0,Za wioską zgraja ludzi się zebrała i krzyczy jakieś brednie i nie daje mi się skupić.
22,22,7,1,16,0,3,0,"I jakiś czas temu pojawił się jakiś potwór, który też dodał mi pracy, choć nie wielu przeżyło z tym diabelstwem."
23,23,7,1,17,0,0,1,Musze już iść.
24,24,7,1,18,0,-1,0,"A tak, tak. Ja też nie mam teraz czasu na rozmowy."
25,25,7,2,1,0,0,0,…
26,26,7,2,2,0,0,0,
27,27,7,2,2,1,3,0,Potrzebujesz nadal ziół?
28,28,7,2,2,2,8,0,Co słychać?
29,29,7,2,2,3,12,0,Musze już iść.
30,30,7,2,3,0,0,1,Potrzebujesz nadal ziół?
31,31,7,2,4,0,0,0,"Tak, każde ziele się przyda."
32,32,7,2,4,1,5,0,Przyniosę ci zioła.
