---,ID,NPC_ID,Conversation_ID,Line_ID,SubLine_ID,TargetLine_ID,Camera_ID,Monologue
1,1,10,0,1,0,0,0,Kto zakłóca mój spokój.
2,2,10,0,2,0,0,1,"Przybywam w imieniu twojego wnuka, po sygnet, który był mu obiecany."
3,3,10,0,3,0,0,0,Antoni? Ten łajdak?
4,4,10,0,4,0,0,0,"Nie dość, że zawsze mędził o pieniądze, które trwonił na lewo i prawo, to jeszcze chce mnie okraść po śmierci?!"
5,5,10,0,5,0,0,0,Ba! Nawet nie chce mu się ruszyć swojego leniwego dupska i przysyła jakąś dziewkę!
6,6,10,0,5,1,6,0,Przynajmniej nie jest jakąś hieną cmentarną… 
7,7,10,0,5,2,25,0,"To twój wnuk, może chce mieć po tobie jakąś pamiątkę."
8,8,10,0,5,3,32,0,"Nie wiem co między wami zaszło, ale twój wnuk pomoże mi tylko gdy przyniosę sygnet."
9,9,10,0,5,4,49,0,"Oddawaj pierścień, albo sama go wezmę."
10,10,10,0,6,0,0,1,Przynajmniej nie jest jakąś hieną cmentarną… 
11,11,10,0,7,0,0,0,"Nie wiem, czy nie wołałbym oddać tego sygnetu jakiemuś złodziejowi… "
12,12,10,0,9,0,0,0,"Ale w sumie rodziny się nie wybiera… Mój syn miał trudności z wychowaniem tego bachora, nigdy się nie słuchał i robił po swojemu."
13,13,10,0,9,1,10,0,"Jeśli taka była by twoja wola, mogłabym oddać ten pierścień twojemu synowi"
14,14,10,0,9,2,19,0,"Musze zanieść sygnet Antoniemu, prosił o to."
15,15,10,0,9,3,23,0,"Oddaj mi ten pierścień, albo sama go wezmę."
16,16,10,0,10,0,0,1,"Jeśli taka była by twoja wola, mogłabym oddać ten pierścień twojemu synowi"
17,17,10,0,11,0,0,0,"Hmm… skąd mam mieć pewność, że nie kłamiesz? Nie sprzedaż go gdzieś pokątnie? Albo nie weźmiesz dla siebie?"
18,18,10,0,11,1,12,0,"Możesz mi zaufać, a co masz do stracenia?"
19,19,10,0,11,2,16,0,"Nie masz innego wyjścia i tak nikt tu nie zagląda, więc albo ja to zrobię, albo sygnet przepadnie."
20,20,10,0,12,0,0,1,"Możesz mi zaufać, a co masz do stracenia?"
21,21,10,0,13,0,0,0,"Bezpieczeństwo rodowitego sygnetu, który był przekazywany z dziada pradziada."
22,22,10,0,14,0,0,0,Lepiej żeby został tutaj niż został zbezczeszczany przez byle kogo.
23,23,10,0,15,0,-1,0,"Nie wiem czy naprawdę prowadzi cię dobroć duszy, czy nie masz złych zamiarów. Żegnaj…"
24,24,10,0,16,0,0,1,"Nie masz innego wyjścia i tak nikt tu nie zagląda, więc albo ja to zrobię, albo sygnet przepadnie."
25,25,10,0,17,0,0,0,"Prawda to. Masz sygnet oddaj go mojemu synowi Jomaszowi, by tradycja została potrzymana."
26,26,10,0,18,0,-1,0,"Mogę odejść w spokoju, ale uważaj, już nikt nad nimi nie panuje."
27,27,10,0,19,0,0,1,"Musze zanieść sygnet Antoniemu, prosił o to."
28,28,10,0,20,0,0,0,"Prosił… a on zna w ogóle takie słowo, jak prośba? Hmm… Nie wiem, co robić…"
29,29,10,0,21,0,0,0,"Przynajmniej pierścień zostanie w rodzinie… mam taką nadzieję… dobrze, trzymaj."
30,30,10,0,22,0,-1,0,"Niech magia ci sprzyja, wiem co mówię…"
31,31,10,0,23,0,0,1,"Oddaj mi ten pierścień, albo sama go wezmę."
32,32,10,0,24,0,-1,0,Jak śmiesz! Giń! Przepadnij! Dziewko nieczysta!
33,33,10,0,25,0,0,1,"To twój wnuk, może chce mieć po tobie jakąś pamiątkę."
34,34,10,0,26,0,0,0,"Tak, oczywiście… Gdy przez ostanie pięć lat mojego życia marudził i pytał o to, czy dostanie w spadku moją ziemie i chatę …"
35,35,10,0,27,0,0,1,Chaty jeszcze nie sprzedał. Może się zmienił?
36,36,10,0,28,0,0,0,"Możliwe, choć po tym jak wyglądało jego życie przed moją śmiercią, nie jestem do tego zbytnio przekonany…"
37,37,10,0,29,0,0,0,"Ale może masz racje, przynajmniej chciałbym tak myśleć."
38,38,10,0,30,0,0,0,"Weź proszę w takim razie ten pierścień i zanieś mu. Mi się już nie przyda, a tradycja naszej rodziny będzie podtrzymana."
39,39,10,0,31,0,-1,0,"Mama nadzieję, że uda Ci się stąd wydostać… "
40,40,10,0,32,0,0,1,"Nie wiem co między wami zaszło, ale twój wnuk pomoże mi tylko gdy przyniosę sygnet. "
41,41,10,0,33,0,0,0,"Czyli jednak się nie zmienił… Nie oddam mu go. Nie jest tego godzien, pierścień powinien  trafić do mojego syna."
42,42,10,0,33,1,34,0,"Daj mi go, pierścień musi trafić do Antoniego."
43,43,10,0,33,2,36,0,"Dobrze, oddam pierścień twojemu synowi i tak zmierzam do zamku."
44,44,10,0,33,3,45,0,Potrzebuję pierścienia do wywiązania się z umowy.
45,45,10,0,33,4,47,0,"Oddaj mi ten pierścień, albo sama go wezmę."
46,46,10,0,34,0,0,1,"Daj mi go, pierścień musi trafić do Antoniego."
47,47,10,0,35,0,-1,0,"Przykro mi, nie wiem jakie masz intencje. Nie dostaniesz go!"
48,48,10,0,36,0,0,1,"Dobrze, oddam pierścień twojemu synowi i tak zmierzam do zamku."
49,49,10,0,37,0,0,0,"Hmm… skąd mam mieć pewność, że nie chcesz mnie oszukać i zabierzesz ten pierścień dla siebie, albo oddasz go Antoniemu?"
50,50,10,0,37,1,38,0,"Możesz mi zaufać, a co masz do stracenia?"
51,51,10,0,37,2,42,0,"Nie masz innego wyjścia i tak nikt tu nie zagląda, więc albo ja to zrobię, albo sygnet przepadnie."
52,52,10,0,38,0,0,1,"Możesz mi zaufać, a co masz do stracenia?"
53,53,10,0,39,0,0,0,"Bezpieczeństwo rodowitego sygnetu, który był przekazywany z dziada pradziada."
54,54,10,0,40,0,0,0,Lepiej żeby został tutaj niż został zbezczeszczany przez byle kogo.
55,55,10,0,41,0,-1,0,"Nie wiem czy naprawdę prowadzi cię dobroć duszy, czy nie masz złych zamiarów. Żegnaj…"
